               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11224,            0.044699,            0.029583,           0.0018158,             0.17538,           0.0017342,          0.00044189,             0.10545,            0.039592,            0.027115,            0.070612,           0.0032653,           0.0032653
                   1,             0.10118,            0.048415,             0.02824,           0.0034209,             0.33665,           0.0028169,          0.00082199,             0.10213,            0.040836,            0.027148,            0.039959,           0.0059454,           0.0059454
                   2,             0.09095,            0.052626,             0.02591,            0.024857,            0.060827,            0.012556,           0.0031963,             0.09805,            0.039176,            0.032295,           0.0086457,           0.0079654,           0.0079654
                   3,              0.0819,            0.049293,            0.023813,            0.028157,             0.19376,            0.015219,           0.0044881,            0.088885,             0.49018,            0.041138,             0.00703,             0.00703,             0.00703
                   4,            0.076634,            0.047227,            0.023081,            0.019607,             0.23459,            0.010834,           0.0028089,            0.099126,             0.22861,            0.050191,             0.00703,             0.00703,             0.00703
                   5,            0.069247,            0.044127,            0.019834,            0.088168,             0.18936,            0.045452,            0.012591,            0.081457,            0.074194,            0.038222,             0.00604,             0.00604,             0.00604
                   6,            0.063983,            0.041844,            0.017043,             0.47036,             0.55475,             0.48767,             0.17962,             0.05744,             0.04153,            0.011016,             0.00505,             0.00505,             0.00505
                   7,            0.061115,            0.040103,            0.014727,             0.46885,             0.43916,             0.38128,             0.11063,            0.065242,            0.043442,            0.016023,             0.00406,             0.00406,             0.00406
                   8,            0.059663,            0.040717,            0.013138,            0.035119,             0.18296,            0.032423,            0.010585,            0.079874,            0.052221,            0.015351,             0.00307,             0.00307,             0.00307
                   9,            0.057067,            0.039011,            0.011958,             0.60169,             0.50161,             0.52712,             0.19388,            0.057067,            0.040329,           0.0077728,             0.00208,             0.00208,             0.00208
