               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11224,            0.044699,            0.029583,           0.0018158,             0.17538,           0.0017342,          0.00044189,             0.10545,            0.039592,            0.027115,            0.070612,           0.0032653,           0.0032653
                   1,              0.1007,            0.048679,            0.028168,           0.0030591,             0.32157,            0.002537,          0.00072367,             0.10229,             0.04041,            0.027162,            0.040482,            0.006468,            0.006468
                   2,            0.088317,            0.052725,            0.025915,           0.0053175,             0.53772,           0.0061752,           0.0016648,            0.096362,            0.043945,            0.029846,            0.010219,           0.0095387,           0.0095387
                   3,            0.080209,            0.048623,              0.0239,            0.011025,             0.11951,           0.0043225,           0.0010107,                 nan,                 nan,            0.076543,            0.009406,            0.009406,            0.009406
                   4,            0.075383,            0.046526,             0.02186,             0.11985,             0.27046,            0.055235,            0.014563,            0.086135,            0.095333,            0.028357,            0.009406,            0.009406,            0.009406
                   5,            0.068902,            0.043002,            0.019364,              0.1207,            0.064281,            0.025221,           0.0068128,            0.086175,            0.053579,            0.033795,            0.009208,            0.009208,            0.009208
                   6,            0.064295,            0.040347,            0.016142,            0.037533,             0.13508,            0.019598,           0.0051117,            0.078033,            0.054698,             0.04429,             0.00901,             0.00901,             0.00901
                   7,            0.061275,            0.038394,            0.013579,              0.5424,             0.54483,              0.4924,             0.19096,            0.058981,            0.034207,           0.0083401,            0.008812,            0.008812,            0.008812
                   8,            0.061392,            0.038784,            0.012216,             0.23475,            0.067614,            0.029852,           0.0078653,             0.07593,            0.083816,            0.033599,            0.008614,            0.008614,            0.008614
                   9,            0.057062,            0.037394,            0.011295,             0.62025,              0.5046,             0.50622,             0.14108,            0.061127,            0.037045,           0.0091587,            0.008416,            0.008416,            0.008416
                  10,            0.056433,             0.03719,            0.010474,             0.65317,              0.6327,             0.63374,             0.27304,            0.052663,            0.034679,           0.0068899,            0.008218,            0.008218,            0.008218
                  11,            0.056012,            0.034577,           0.0096144,             0.45111,             0.48213,             0.43074,             0.16666,            0.060719,            0.030436,           0.0053916,             0.00802,             0.00802,             0.00802
                  12,            0.054526,            0.035142,           0.0076152,             0.72952,             0.52575,             0.59812,             0.23017,            0.056149,            0.034293,           0.0068822,            0.007822,            0.007822,            0.007822
                  13,            0.052396,              0.0335,           0.0094475,             0.71152,             0.63107,              0.6453,             0.23783,            0.055168,            0.030823,           0.0069794,            0.007624,            0.007624,            0.007624
                  14,            0.051767,            0.034705,           0.0076869,             0.71892,             0.67029,             0.74347,             0.30617,            0.048659,            0.033761,           0.0038172,            0.007426,            0.007426,            0.007426
